0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,7,6,15,8,11,13,5,12,10,9,3,18,4,17,16,19,2,14,1
0,9,11,6,4,7,16,17,10,1,18,19,5,2,12,15,13,3,14,8
0,11,9,12,15,8,17,4,2,10,6,7,13,14,3,1,18,16,19,5
0,11,9,17,19,3,7,1,15,4,13,14,18,5,6,8,12,2,10,16
0,4,1,8,2,6,9,7,5,17,14,3,11,16,18,15,12,13,10,19
0,18,1,4,13,3,8,16,14,12,11,10,7,15,17,2,19,6,9,5
0,7,13,9,5,8,16,12,4,19,3,14,6,1,15,2,17,10,18,11
0,8,19,16,6,13,4,12,14,2,9,5,1,18,7,3,11,17,10,15
0,2,12,9,7,4,5,3,15,13,18,1,10,8,6,14,17,19,16,11
0,8,1,12,14,19,9,17,7,11,16,4,10,5,3,6,13,18,2,15
0,15,10,17,4,2,14,7,13,6,12,1,19,9,18,8,11,16,5,3
0,9,19,2,11,15,7,13,16,8,1,3,5,17,18,4,14,12,6,10
0,10,5,14,2,12,3,17,1,8,11,15,4,18,19,13,7,6,16,9
0,4,10,17,1,6,7,12,15,3,5,2,13,11,19,18,16,14,8,9
0,19,13,1,15,16,8,17,5,18,3,14,11,4,7,10,6,12,2,9
0,8,14,18,19,11,15,1,4,17,2,6,3,7,5,10,12,9,13,16
0,9,2,4,5,11,6,8,12,1,17,19,14,16,7,15,18,3,13,10
0,19,16,4,8,5,3,11,9,13,2,7,18,6,15,17,10,12,1,14
0,8,15,18,12,17,2,14,13,16,3,5,1,9,11,7,6,19,4,10
0,7,4,13,15,12,19,17,18,8,11,1,16,6,2,3,5,9,14,10
0,5,10,3,14,11,1,6,15,19,4,7,13,2,8,16,12,9,17,18
0,17,19,15,2,18,9,6,13,11,10,16,4,8,14,3,7,5,1,12
0,19,3,2,1,13,12,15,4,6,7,11,5,10,16,14,18,17,9,8
0,3,14,18,11,9,7,1,12,5,6,19,13,17,4,16,2,15,8,10
0,8,16,18,13,15,9,3,11,19,10,17,7,4,1,5,12,2,6,14
0,2,3,12,8,7,17,11,9,6,4,16,5,14,19,10,1,15,13,18
0,12,13,18,19,10,16,4,14,9,15,1,7,6,8,11,5,2,3,17
0,6,4,1,3,18,15,16,12,17,9,19,8,14,13,10,7,2,11,5
0,19,8,17,9,10,11,6,15,13,18,4,5,1,3,2,12,7,16,14
0,4,15,1,11,6,2,7,13,5,9,3,17,10,16,14,8,19,18,12
0,2,15,1,6,4,19,3,16,10,5,17,12,13,9,18,11,8,7,14
0,13,8,3,15,7,6,9,18,1,11,4,5,12,2,16,19,10,14,17
0,16,13,7,6,2,8,4,9,14,5,10,15,12,1,19,18,3,11,17
0,9,4,14,10,18,3,6,17,16,11,15,1,7,5,12,8,19,13,2
0,19,8,6,17,5,18,13,10,2,4,12,1,7,9,3,14,15,16,11
0,7,16,9,10,13,11,17,4,2,15,8,14,3,5,1,6,18,12,19
0,15,17,4,19,2,16,1,9,10,12,11,13,5,3,14,7,6,18,8
0,4,12,16,3,15,7,19,9,14,17,10,2,13,18,5,1,6,11,8
0,2,16,17,8,15,7,12,19,5,9,13,14,6,4,11,18,10,3,1
0,1,9,6,10,16,13,4,5,15,7,3,8,14,11,2,18,19,17,12
0,17,13,5,10,18,11,1,12,9,7,14,16,6,8,3,15,19,4,2
0,9,11,4,15,13,2,18,1,12,6,16,14,19,8,17,10,3,5,7
